clx    - 2016 - 04 - 24 - Buy      - 12  - 1315.38
fort   - 2023 - 01 - 03 - Buy      - 20  - 753.10
fort   - 2023 - 03 - 09 - Buy      - 20  - 741.00
fort   - 2023 - 04 - 20 - Buy      - 10  - 403.80
fort   - 2023 - 09 - 06 - Buy      - 10  - 362.00
fort   - 2023 - 10 - 02 - Buy      - 10  - 359.60
fort   - 2024 - 03 - 04 - Buy      - 10  - 356.20
cud    - 2022 - 04 - 21 - Buy      - 30  - 865.00
cud    - 2022 - 10 - 11 - Buy      - 10  - 257.00
cud    - 2022 - 11 - 07 - Buy      - 10  - 261.00
cud    - 2022 - 12 - 23 - Buy      - 20  - 509.00
cud    - 2023 - 02 - 15 - Buy      - 10  - 255.00
cud    - 2023 - 02 - 21 - Buy      - 10  - 253.00
cud    - 2023 - 03 - 21 - Buy      - 10  - 251.00
cud    - 2023 - 05 - 24 - Buy      - 10  - 251.00
cud    - 2023 - 06 - 22 - Buy      - 10  - 243.00
cud    - 2023 - 09 - 01 - Buy      - 10  - 221.00
cud    - 2023 - 09 - 20 - Buy      - 10  - 219.00
qyle   - 2024 - 01 - 05 - Buy      - 100 -1480.20 
qyle   - 2024 - 01 - 09 - Buy      - 100 -1494.80 
qyle   - 2024 - 01 - 22 - Buy      - 80  -1216.68 
qyle   - 2024 - 01 - 26 - Buy      - 70  -1070.04 
qyle   - 2024 - 03 - 04 - Buy      - 50  - 774.10 
